distance,dB,speed,,station,code,station distance
6300,60.8,73.8,,,,
6310,60.6,74,,,,
6320,60.4,74.4,,,,
6330,61.1,74.6,,,,
6340,61.6,74.6,,,,
6350,61.6,74.4,,,,
6360,61.6,74.2,,,,
6370,61.6,73.7,,,,
6380,62,72.3,,,,
6390,63,71,,,,
6400,64.2,69.5,,,,
6410,65.9,67.8,,,,
6420,66.7,65.9,,,,
6430,66.7,64.2,,,,
6440,66.7,62.4,,,,
6450,66.4,60.5,,,,
6460,66.1,58.4,,,,
6470,64.9,56,,,,
6480,62.7,53.5,,,,
6490,59.9,51.1,,,,
6500,57.2,48.4,,,,
6510,54.6,46.2,,,,
6520,54,43.9,,,,
6530,54,42.2,,,,
6540,51.9,41.1,,,,
6550,49.5,40.2,,,,
6560,47.1,39.2,,,,
6570,44.1,37.3,,,,
6580,41.7,35.5,,,,
6590,41,32.3,,,,
6600,42.9,29.6,,,,
6610,46.4,26.2,,,,
6620,44.4,22.3,,,,
6630,40.3,19.1,,,,
6640,35.4,15.5,,,,
6650,31.6,0,,,,
6660,24.8,13.1,,,,
6670,23.6,16.1,,,,
6680,26.5,17,,,,
6690,28.7,22.3,,,,
6700,31.4,27.2,,,,
6710,34.5,31.1,,,,
6720,40.7,34.1,,,,
6730,43.9,37.7,,,,
6740,44.4,40.9,,,,
6750,45.4,43.7,,,,
6760,46.4,46.4,,,,
6770,47.1,48.8,,,,
6780,47.3,51.1,,,,
6790,47.8,53.5,,,,
6800,49,55.8,,,,
6810,49.7,57.5,,,,
6820,49.7,59,,,,
6830,49.5,60.9,,,,
6840,49.2,62.4,,,,
6850,50,63.7,,,,
6860,51.2,65.2,,,,
6870,52.6,66.5,,,,
6880,53.6,67.8,,,,
6890,55,69.3,,,,
6900,56.2,70.5,,,,
6910,57.5,71.6,,,,
6920,58.6,72.7,,,,
6930,58.9,73.7,,,,
6940,59.2,74.8,,,,
6950,59.4,75.9,,,,
6960,59.8,76.7,,,,
6970,60.6,77.8,,,,
6980,61.3,78.7,,,,
6990,62,79.7,,,,
7000,62.7,80.2,,,,
7010,63.2,81.2,,,,
7020,63.8,82.1,,,,
7030,64.4,82.9,,,,
7040,65.2,83.6,,,,
7050,66.6,84.4,,,,
7060,67.3,85.1,,,,
7070,67.4,85.9,,,,
7080,67.4,86.6,,,,
7090,66.9,87.4,,,,
7100,66.6,87.8,,,,
7110,66.4,88.3,,,,
7120,66.1,88.5,,,,
7130,66.4,88.5,,,,
7140,67.6,88.5,,,,
7150,69,88.3,,,,
7160,69.5,88,,,,
7170,69.8,87.8,,,,
7180,69.5,87,,,,
7190,68.8,86.6,,,,
7200,67.9,85.9,,,,
7210,67.8,84.9,,,,
7220,68.1,84.2,,,,
7230,68.3,83.3,,,,
7240,69,82.3,,,,
7250,69.3,81.2,,,,
7260,69,80.2,,,,
7270,68.6,79.1,,,,
7280,69.3,78.2,,,,
7290,70,77,,,,
7300,70.8,75.9,,,,
7310,71.2,75.2,,,,
7320,70.5,74,,,,
7330,69.3,72.9,,,,
7340,68.4,71.8,,,,
7350,67.8,70.8,,,,
7360,67.9,69.9,,,,
7370,68.3,68.9,,,,
7380,68.6,68,,,,
7390,68.8,67.1,,,,
7400,68.8,66.3,,,,
7410,68.4,65.6,,,,
7420,68.3,64.6,,,,
7430,67.3,63.5,,,,
7440,66.1,62.4,,,,
7450,63.8,61.2,,,,
7460,61.5,60.3,,,,
7470,59.1,59.2,,,,
7480,57.2,57.8,,,,
7490,56,56.7,,,,
7500,55.5,55.8,,,,
7510,55.7,54.6,,,,
7520,55.8,53.5,,,,
7530,55,52.2,,,,
7540,54,50.9,,,,
7550,53.3,49.8,,,,
7560,52.6,49.4,,,,
7570,52.1,48.8,,,,
7580,51.6,48.8,,,,
7590,51.4,48.4,,,,
7600,50.7,48.2,,,,
7610,50.4,48.2,,,,
7620,50.5,48.6,,,,
7630,51.2,48.8,,,,
7640,52.6,48.2,,,,
7650,53.4,47.5,,,,
7660,54.8,46.4,,,,
7670,56.3,45.2,,,,
7680,56.5,43.9,,,,
7690,55.5,42.2,,,,
7700,54.6,40.5,,,,
7710,55,39.4,,,,
7720,54.3,38.7,,,,
7730,52.1,38.7,,,,
7740,49.7,39,,,,
7750,46.1,40,,,,
7760,43.9,40.7,,,,
7770,44.1,41.3,,,,
7780,45.8,42,,,,
7790,47.1,42.8,,,,
7800,49,43.4,,,,
7810,50.9,43.5,,,,
7820,53.1,43.4,,,,
7830,55.5,43,,,,
7840,56.9,41.9,,,,
7850,56.5,40,,,,
7860,55.5,37.3,,,,
7870,54,34.3,,,,
7880,50.7,31.3,,,,
7890,48,27.2,,,,
7900,44.7,22.1,,,,
7910,37.8,18.3,,,,
7920,32,15.1,,,,
7930,21.4,11,,,,
7940,24.3,0,,,,
7950,26,16.8,,,,
