distance,dB,speed,,station,code,station distance
12709.356,85.85,68.6,,,,
12746.689,83.17,68,,,,
12782.161,84.91,66.4,,,,
12814.772,79.97,61.3,,,,
12844.467,74.64,56.1,,,,
12871.189,73.37,50.8,,,,
12894.856,74.36,45.4,,,,
12915.411,70.98,39.8,,,,
12933.022,69.1,34.2,,,,
12947.717,66.35,29.2,,,,
12959.828,65.46,23.7,,,,
12970.078,64.66,19.9,,,,
12978.8,63.95,17,,,,
12985.856,63.04,14.4,,,,
12991.189,64.03,11,,,,
12995.05,63.36,8.2,,,,
12997.522,64,5.7,,,,
12998.772,72.05,3.2,,,,
12999.133,71.41,1.3,,,,
13001.462,65.75,0,,,,
13001.462,69.32,0,,,,
13001.462,70.49,0,,,,
13001.462,60.77,0,,,,
13001.462,60.45,0,,,,
13001.462,61.06,0,,,,
13001.462,60.17,0,,,,
13001.462,60.3,0,,,,
13001.462,60.33,0,,,,
13001.462,60.21,0,,,,
13001.462,60.52,0,,,,
13001.462,60.11,0,,,,
13001.462,60.25,0,,,,
13001.462,60.24,0,,,,
13001.462,60.07,0,,,,
13001.462,60.07,0,,,,
13001.462,60.06,0,,,,
13001.462,60.22,0,,,,
13001.462,60.17,0,,,,
13001.462,59.97,0,,,,
13001.462,62.03,0,,,,
13001.462,63.17,0,,,,
13001.462,64.86,0,,,,
13001.656,65.89,0,,,,
13003.656,73.27,0.7,,,,
13009.101,75.26,6.5,,,,
13018.24,74.88,13.1,,,,
13031.156,74.72,19.8,,,,
13047.879,77.6,26.7,,,,
13068.379,79.31,33.5,,,,
13092.656,78.87,40.3,,,,
13120.462,80.93,47.1,,,,
13150.684,85.14,53,,,,
13182.518,85.14,55.8,,,,
13215.768,85.21,58.8,,,,
13250.045,86.06,60.9,,,,
13285.156,85.46,62.5,,,,
13320.768,85.54,63.9,,,,
13356.573,88.4,64.3,,,,
13392.906,87.77,64.6,,,,
13430.129,86.04,66.2,,,,
13468.184,86.61,67.8,,,,
13506.573,87.55,69.2,,,,
13544.684,84.53,69,,,,
13582.795,85.81,68.2,,,,
13621.156,86.98,69,,,,
13659.351,89.23,69.1,,,,
13697.545,88.61,68.4,,,,
13735.934,84.84,69.1,,,,
13774.268,86.37,69.1,,,,
13812.49,84.08,68.9,,,,
13850.629,86.01,68.7,,,,
13889.073,86.41,68.6,,,,
13928.323,86.91,69.8,,,,
13968.573,86.77,71.5,,,,
14009.323,83.94,73.4,,,,
14050.323,84.66,73.3,,,,
14091.49,85.3,74.3,,,,
14132.156,84.53,73.9,,,,
14172.268,84.55,72.5,,,,
14211.962,84.21,71.9,,,,
14250.323,83.56,71,,,,
14286.656,83.94,67.1,,,,
14321.156,84.02,63.7,,,,
14353.906,84.14,60.5,,,,
14384.934,83.49,57.4,,,,
14414.24,81.16,54.3,,,,
14441.823,80.83,51.2,,,,
14467.99,78.96,48.1,,,,
14492.934,76.82,46.1,,,,
14516.434,77.38,43.7,,,,
14538.323,75.2,40.9,,,,
14558.573,74.31,37.9,,,,
14577.212,78.32,35,,,,
14594.684,75.72,32.1,,,,
14610.99,74.55,30.8,,,,
14625.712,75,27.9,,,,
14639.434,78.34,25.1,,,,
14653.462,78.94,24.3,,,,
